Timestamp,Are you introverted or extroverted?,Are you intuitive or sensing?,Are you feeling or thinking?,Are you judging or perceiving?,What is your favorite subject in school? ,What is your least favorite subject in school?,Are you in the ALP/IB program?,"On average, how much time do you spend studying or doing homework every day outside of school? ",What do you plan on doing after completing high school?,I am productive when working during class time.,I am content with the marks I am receiving.,I often feel motivated to study. ,Studying is more spontaneous bursts of energy rather than a constant productive state. ,I am constantly pushing myself to get better and better marks.,I often feel pressured by myself to get better marks. 
2025-05-28 10:57:30,Introverted (I),Intuitive (N),Feeling (F),Perceiving (P),Science,English,"Yes, I am in the ALP/IB program.",0-2 hours,University,2,4,1,6,4,6
2025-05-28 11:05:22,Introverted (I),Intuitive (N),Feeling (F),Perceiving (P),Science,French,"No, I am not in the ALP/IB program and I am not in any other program.",0-2 hours,University,4,5,2,6,5,6
2025-05-28 11:06:14,Introverted (I),Intuitive (N),Feeling (F),Perceiving (P),Science,Gym,"No, I am not in the ALP/IB program and I am not in any other program.",0-2 hours,University,3,4,3,4,4,5
2025-05-28 11:06:32,Introverted (I),Intuitive (N),Thinking (T),Perceiving (P),Math,Visual Arts,"Yes, I am in the ALP/IB program.",2-4 hours,University,4,4,5,2,6,5
2025-05-28 11:08:20,Introverted (I),Intuitive (N),Feeling (F),Judging (J),Math,Social Sciences,"Yes, I am in the ALP/IB program.",0-2 hours,University,3,4,3,5,4,4
2025-05-28 11:11:04,Introverted (I),Intuitive (N),Feeling (F),Perceiving (P),Gym,Visual Arts,"Yes, I am in the ALP/IB program.",2-4 hours,University,2,4,1,1,3,2
2025-05-28 11:11:25,Introverted (I),Intuitive (N),Thinking (T),Perceiving (P),Music,English,"Yes, I am in the ALP/IB program.",0-2 hours,University,3,1,3,6,6,5
2025-05-28 11:12:41,Introverted (I),Intuitive (N),Thinking (T),Judging (J),Math,French,"Yes, I am in the ALP/IB program.",2-4 hours,University,4,5,4,6,6,6
2025-05-28 11:12:56,Extroverted (E),Sensing (S),Thinking (T),Judging (J),Science,French,"Yes, I am in the ALP/IB program.",6+ hours,University,4,6,6,2,6,3
2025-05-28 11:12:59,Extroverted (E),Intuitive (N),Feeling (F),Perceiving (P),Social Sciences,Gym,"Yes, I am in the ALP/IB program.",4-6 hours,University,3,3,2,5,4,6
